Property ID,Property Name,Property Type,Location,Purchase Price,Current Value,Square Footage,Occupancy Rate,NOI,Cap Rate,Acquisition Date,Last Renovation,Annual Revenue,Operating Expenses,Debt Service,Lease Term Remaining,Price per SF
P001,Oakwood Plaza,Retail,Chicago IL,12500000,14750000,45000,92,875000,5.9,2020-03-15,2019-01,1250000,375000,450000,7.5,327.78
P002,Highland Office Park,Office,Austin TX,28000000,32500000,120000,88,2100000,6.5,2019-08-22,2021-06,2800000,700000,950000,5.2,270.83
P003,Riverside Apartments,Multifamily,Seattle WA,45000000,52000000,85000,95,3250000,6.3,2021-02-10,2022-03,4500000,1250000,1600000,NA,611.76
P004,Gateway Industrial,Industrial,Phoenix AZ,18500000,21000000,150000,100,1650000,7.9,2020-11-30,2018-12,1850000,200000,525000,8.3,140.00
P005,Parkview Medical Center,Medical Office,Boston MA,32000000,35500000,65000,96,2450000,6.9,2021-07-15,2020-09,3200000,750000,1100000,9.1,546.15
P006,Sunset Retail Center,Retail,Miami FL,15750000,16800000,35000,87,1050000,6.3,2019-05-20,2022-01,1575000,525000,480000,4.8,480.00
P007,Tech Hub Tower,Office,San Francisco CA,85000000,92000000,175000,91,6200000,6.7,2020-09-08,2021-11,8500000,2300000,2800000,6.4,525.71
P008,The Grand Residences,Multifamily,Denver CO,38500000,44000000,72000,97,2950000,6.7,2021-04-12,2022-07,3850000,900000,1250000,NA,611.11
P009,Crossroads Logistics,Industrial,Dallas TX,25000000,29500000,200000,98,2250000,7.6,2020-06-25,2019-08,2500000,250000,750000,7.8,147.50
P010,Wellness Medical Plaza,Medical Office,San Diego CA,42000000,46500000,80000,94,3150000,6.8,2021-09-30,2020-11,4200000,1050000,1400000,8.5,581.25 
